case_index,case_type,target,event_name,link_id,contact_ratio,direction,force_N,duration_s,success,recovery_time_s,saturation_fraction,fail_reason,final_angle_error_rad,final_velocity_norm,final_cart_abs_m,max_angle_error_rad,max_velocity_norm,max_abs_x_m,max_abs_u_cmd_N,max_Q_external_norm,pass_finite,pass_force_applied,pass_recovered_final,pass_rail,pass_saturation,pass_recovery_time,x_after_force,xdot_after_force,theta1_after_force,theta1dot_after_force,theta2_after_force,theta2dot_after_force,planner_selected_variant,planner_selected_cost,recovery_roa_score,recovery_margin_score,primary_fail_reason,planner_try_opt,planner_opt_used_trajectory,planner_local_cost,planner_opt_cost,planner_decision_reason,planner_force_takeover,planner_tried_variants,planner_candidate_validation_vector
1,target_recovery,up_up,link1_ratio0.25_right_1N,1,0.25,right,1,0.08,1,1.11022302462516e-16,0,PASS,2.00203240688021e-06,2.69777670518643e-05,2.91088010052568e-05,0.0982317889573435,0.772596208561391,0.221366627892923,4.55855920406899,1.00778221852959,1,1,1,1,1,1,0.0226420490634582,0.373937668575653,3.16289596356864,0.598550559194394,3.1596320973373,0.213518913946214,local_lqr,-1999.54425917367,9.86511827664007e-05,0.0999979979675931,PASS,0,0,-1999.54425917367,NaN,BEST50_LOCKED_BASELINE_PASS_VARIANT_local_lqr,0,local_lqr,BEST50_LOCK_PASS_pass_rail_pass_angle_pass_velocity_pass_cart_pass_saturation_pass_settled_window
2,target_recovery,up_up,link1_ratio0.25_left_1N,1,0.25,left,1,0.08,1,1.11022302462516e-16,0,PASS,2.17056518297767e-06,2.85341796068912e-05,3.02166996302539e-05,0.0956854541703597,0.755867072447773,0.240300333340396,4.59243880237331,1.00778221848519,1,1,1,1,1,1,-0.0095483050735469,-0.351701381190056,3.1215961938538,-0.592469596266159,3.12432450033482,-0.206746523102957,local_lqr,-1999.50530683072,0.000104958753958939,0.099997829434817,PASS,0,0,-1999.50530683072,NaN,BEST50_LOCKED_BASELINE_PASS_VARIANT_local_lqr,0,local_lqr,BEST50_LOCK_PASS_pass_rail_pass_angle_pass_velocity_pass_cart_pass_saturation_pass_settled_window
3,target_recovery,up_up,link1_ratio0.50_right_1N,1,0.5,right,1,0.08,1,0.45,0.00111049416990561,PASS,4.23752181253183e-06,5.71311173414757e-05,6.16677817801438e-05,0.189618676472011,1.78772721448722,0.46855498294838,15,1.03077640616812,1,1,1,1,1,1,0.0394025644932847,0.851761669514662,3.18498491126381,1.4816085498187,3.17715158156361,0.338353625378102,local_lqr,-1998.5548180167,0.00298512451441007,0.0999957624781875,PASS,0,0,-1998.5548180167,NaN,BEST50_LOCKED_BASELINE_PASS_VARIANT_local_lqr,0,local_lqr,BEST50_LOCK_PASS_pass_rail_pass_angle_pass_velocity_pass_cart_pass_saturation_pass_settled_window
4,target_recovery,up_up,link1_ratio0.50_left_1N,1,0.5,left,1,0.08,1,0.44,0.00111049416990561,PASS,4.39383774804459e-06,5.85001039735124e-05,6.25552826528417e-05,0.187133055325382,1.77180154413326,0.48605738250021,15,1.03077640429114,1,1,1,1,1,1,-0.0262980451170346,-0.829274011470144,3.09953476913094,-1.47490865553607,3.10679551843767,-0.331761781956788,local_lqr,-1998.52881259698,0.00299076642708625,0.099995606162252,PASS,0,0,-1998.52881259698,NaN,BEST50_LOCKED_BASELINE_PASS_VARIANT_local_lqr,0,local_lqr,BEST50_LOCK_PASS_pass_rail_pass_angle_pass_velocity_pass_cart_pass_saturation_pass_settled_window
5,target_recovery,up_up,link1_ratio0.75_right_1N,1,0.75,right,1,0.08,1,3.34,0.00277623542476402,PASS,8.49160802795126e-06,1.19835848078632e-05,2.40597320763003e-05,0.316048764679577,2.25815168453987,1.54121858731949,15,1.06800046357555,1,1,1,1,1,1,0.0515134748974584,1.13013015827533,3.19510051945322,1.84747173541602,3.19866352203085,0.639455270199364,traj_cart_safe,-1992.81239040986,0.12825063091355,0.0999915083919721,PASS,0,1,-1996.70887692159,NaN,BEST50_LOCKED_BASELINE_PASS_VARIANT_traj_cart_safe,0,traj_cart_safe,BEST50_LOCK_PASS_pass_rail_pass_angle_pass_velocity_pass_cart_pass_saturation_pass_settled_window
6,target_recovery,up_up,link1_ratio0.75_left_1N,1,0.75,left,1,0.08,1,3.31,0.00277623542476402,PASS,8.04894165226117e-06,1.02790630075294e-05,2.42412123988126e-05,0.3137236065266,2.23770780335477,1.5658260282451,15,1.06800046357555,1,1,1,1,1,1,-0.0383800369969636,-1.10629764561707,3.08949452758842,-1.83726737334714,3.08525624401428,-0.634129257171764,traj_cart_safe,-1992.60285338934,0.166097247465681,0.0999919510583477,PASS,0,1,-1996.66666903099,NaN,BEST50_LOCKED_BASELINE_PASS_VARIANT_traj_cart_safe,0,traj_cart_safe,BEST50_LOCK_PASS_pass_rail_pass_angle_pass_velocity_pass_cart_pass_saturation_pass_settled_window
7,target_recovery,up_up,link1_ratio1.00_right_1N,1,1,right,1,0.08,0,NaN,0.147327249022164,FINAL_STATE_OUTSIDE_RECOVERY_GATE|CART_RAIL_LIMIT_EXCEEDED|NO_SETTLED_RECOVERY_WINDOW,1.71516664317896,6.3118400460478,1.82580773369456,4.41931736731346,31.9994347127961,1.95702086050349,15,1.11803398813473,1,1,0,0,1,0,0.0558387350297497,1.18348369354118,3.1848758188567,1.61444160739146,3.22736852047368,1.16648973849937,lib_target_upup_l1_r100_right_ratekill,10620912.4124903,45.2683117198124,-1.61516664317896,FINAL_STATE_OUTSIDE_RECOVERY_GATE,1,1,10652117.308408,10620853.8172066,NO_TRAJ_CANDIDATE_PASSED_BEST_NONLOCAL_SELECTED_FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window,1,local_lqr|ss_hs01_g01|ss_hs01_g02|ss_hs01_g03|ss_hs01_g04|ss_hs01_g05|ss_hs01_g06|ss_hs01_g07|ss_hs01_g08|ss_hs01_g09|ss_hs01_g10|ss_hs01_g11|ss_hs01_g12|ss_hs01_g13|ss_hs01_g14|ss_hs01_g15|ss_hs01_g16|ss_hs01_g17|ss_hs01_g18|ss_hs01_railclamp|ss_hs01_anglecatch|ss_hs01_latehandoff|lib_target_upup_l1_r100_right_angle|lib_target_upup_l1_r100_right_sweep|lib_target_upup_l1_r100_right_ratekill|upup_force_l1_ratio100_autotune|upup_force_l1_ratio100_ratekill|upup_force_l1_ratio100_latehandoff|upup_phase_l1_ratio100|upup_phase_energy_sweep|upup_phase_after_switch|upup_force_after_switch_autotune|upup_phase_rail_guard|hard_catch_upup_l2_high_contact|hard_catch_upup_l1_ratio1|hard_catch_energy_angle|roa_traj_tvlqr_nominal|traj_cart_safe|terminal_upup_l2_high_contact|terminal_upup_l1_ratio1|emergency_rail_safe_takeover|upup_force_l2_ratio075_autotune|upup_force_l2_ratio100_autotune|upup_force_l2_ratio075_ratekill|upup_force_l2_ratio100_ratekill|upup_phase_l2_ratio075|upup_phase_l2_ratio100|hard_catch_rail_barrier,LOCAL_BASELINE|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_fail_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window
8,target_recovery,up_up,link1_ratio1.00_left_1N,1,1,left,1,0.08,0,NaN,0.086484137331595,FINAL_STATE_OUTSIDE_RECOVERY_GATE|NO_SETTLED_RECOVERY_WINDOW,3.18032081218138,6.84451790315831,1.54750965175901,4.42198331931873,34.7082481258653,1.85849994193799,15,1.11803398095653,1,1,0,1,1,0,-0.0426684740883526,-1.15902722430111,3.09981783171589,-1.6023969924535,3.05651189448282,-1.16217255089876,terminal_upup_l2_high_contact,121576.244406756,74.7614997557737,-3.08032081218138,FINAL_STATE_OUTSIDE_RECOVERY_GATE,1,1,10651542.9834272,121576.244406756,NO_TRAJ_CANDIDATE_PASSED_BEST_NONLOCAL_SELECTED_FAIL_pass_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window,1,local_lqr|ss_hs02_g01|ss_hs02_g02|ss_hs02_g03|ss_hs02_g04|ss_hs02_g05|ss_hs02_g06|ss_hs02_g07|ss_hs02_g08|ss_hs02_g09|ss_hs02_g10|ss_hs02_g11|ss_hs02_g12|ss_hs02_g13|ss_hs02_g14|ss_hs02_g15|ss_hs02_g16|ss_hs02_g17|ss_hs02_g18|ss_hs02_railclamp|ss_hs02_anglecatch|ss_hs02_latehandoff|lib_target_upup_l1_r100_left_angle|lib_target_upup_l1_r100_left_sweep|lib_target_upup_l1_r100_left_ratekill|upup_force_l1_ratio100_autotune|upup_force_l1_ratio100_ratekill|upup_force_l1_ratio100_latehandoff|upup_phase_l1_ratio100|upup_phase_energy_sweep|upup_phase_after_switch|upup_force_after_switch_autotune|upup_phase_rail_guard|hard_catch_upup_l2_high_contact|hard_catch_upup_l1_ratio1|hard_catch_energy_angle|roa_traj_tvlqr_nominal|traj_cart_safe|terminal_upup_l2_high_contact|terminal_upup_l1_ratio1|emergency_rail_safe_takeover|upup_force_l2_ratio075_autotune|upup_force_l2_ratio100_autotune|upup_force_l2_ratio075_ratekill|upup_force_l2_ratio100_ratekill|upup_phase_l2_ratio075|upup_phase_l2_ratio100|hard_catch_rail_barrier,LOCAL_BASELINE|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_pass_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_pass_cart_pass_saturation_fail_settled_window|FAIL_fail_rail_fail_angle_fail_velocity_fail_cart_pass_saturation_fail_settled_window
9,target_recovery,up_up,link2_ratio0.25_right_1N,2,0.25,right,1,0.08,1,0.84,0,PASS,6.08721814900469e-06,1.68162561873952e-05,1.10906365472967e-05,0.164448084594037,0.921498036287561,0.756909344069697,9.30178787818427,1.12499999225377,1,1,1,1,1,1,0.0300858213768273,0.608227820280727,3.14984844624927,0.646830472947561,3.16536619399211,0.246633105614029,traj_cart_safe,-1997.60422249933,0.000152792088544518,0.099993912781851,PASS,0,1,-1999.34246853882,NaN,BEST50_LOCKED_BASELINE_PASS_VARIANT_traj_cart_safe,0,traj_cart_safe,BEST50_LOCK_PASS_pass_rail_pass_angle_pass_velocity_pass_cart_pass_saturation_pass_settled_window
10,target_recovery,up_up,link2_ratio0.25_left_1N,2,0.25,left,1,0.08,1,0.82,0,PASS,6.08810968612242e-06,1.66802205956242e-05,1.11813474004216e-05,0.160657679060516,0.900864260384527,0.762133093902176,9.33728998936329,1.12499999225377,1,1,1,1,1,1,-0.0169923074028932,-0.586012740485559,3.1346438081848,-0.640770955799628,3.11858925311805,-0.239912621240313,traj_cart_safe,-1997.61350827556,0.000152699091383609,0.0999939118903139,PASS,0,1,-1999.40123103363,NaN,BEST50_LOCKED_BASELINE_PASS_VARIANT_traj_cart_safe,0,traj_cart_safe,BEST50_LOCK_PASS_pass_rail_pass_angle_pass_velocity_pass_cart_pass_saturation_pass_settled_window
