case_name,max_abs_theta1_deg,max_abs_theta2_deg,max_abs_cart_position_m,max_abs_cart_velocity_m_s,max_abs_u_raw_N,max_abs_u_sat_N,rms_u_sat_N,max_abs_disturbance_N,max_abs_total_force_N,final_theta1_deg,final_theta2_deg,final_cart_position_m,theta1_settling_time_s,theta2_settling_time_s,cart_settling_time_s,recovery_time_s,saturation_used,saturation_limit_respected,final_state_ok
baseline_3deg_no_disturbance,10.7934027128132,6.82794335349396,0.726915792212913,1.10426530774172,16.8389531159896,15,5.61100303621662,0,15,0.00232738603079019,0.00256005734837211,-0.000397082279964391,4.88190015320176,4.88190015320176,4.28190015320176,NaN,1,1,1
small_force_disturbance_2N,10.7934027128132,6.82794335349396,0.726915792212913,1.10426530774172,16.8389531159896,15,5.29289645873189,2,15,-0.00123405679134401,-0.000809299206123704,-0.000810020900129282,4.95895191989586,4.95895191989586,5.55895191989586,3.35895191989586,1,1,1
medium_force_disturbance_3N,10.7934027128132,6.82794335349396,0.726915792212913,1.10426530774172,16.8389531159896,15,5.34829656508289,3,15,-0.00301477982421447,-0.00249397910898858,-0.00101649022829184,4.8798496200765,5.07984962007651,5.87984962007651,3.67984962007651,1,1,1
larger_initial_angle_5deg,19.6696458154183,12.3557118749542,1.3253724811693,1.98522111905801,28.0649218599826,15,6.3567831205104,0,15,0.00438828700314086,0.0048156243827034,-0.000727539103132096,5.38410921985864,5.58410921985864,4.58410921985864,NaN,1,1,1
